Selector,Classifier,Number_of_Features,Accuracy,Performance_score,Supported_Features
list,SVC_rbf,10,0.8096628643852979,0.7997,"[ True  True  True  True  True  True  True  True  True False False False
 False False False False False False False  True False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False]"
list,SVC_linear,10,0.7721977186311788,0.7622,"[ True  True  True  True  True  True  True  True  True False False False
 False False False False False False False  True False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False]"
list,DecisionTreeClassifier,10,0.7395640050697085,0.7296,"[ True  True  True  True  True  True  True  True  True False False False
 False False False False False False False  True False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False]"
list,XGBClassifier,10,0.8056628643852979,0.7957,"[ True  True  True  True  True  True  True  True  True False False False
 False False False False False False False  True False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False]"
list,RandomForestClassifier,10,0.696831432192649,0.6868,"[ True  True  True  True  True  True  True  True  True False False False
 False False False False False False False  True False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False]"
list,LogisticRegression,10,0.8035640050697085,0.7936,"[ True  True  True  True  True  True  True  True  True False False False
 False False False False False False False  True False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False]"
list,SVC_rbf,25,0.8608314321926489,0.8208,"[ True  True  True  True  True  True  True  True  True  True  True  True
 False False  True  True False False  True  True  True  True False False
  True  True False  True False False False  True False  True False False
 False False False False  True False False False False False False False
 False False False False False False False  True False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False]"
list,SVC_linear,25,0.8334651457541191,0.7935,"[ True  True  True  True  True  True  True  True  True  True  True  True
 False False  True  True False False  True  True  True  True False False
  True  True False  True False False False  True False  True False False
 False False False False  True False False False False False False False
 False False False False False False False  True False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False]"
list,DecisionTreeClassifier,25,0.7740988593155893,0.7341,"[ True  True  True  True  True  True  True  True  True  True  True  True
 False False  True  True False False  True  True  True  True False False
  True  True False  True False False False  True False  True False False
 False False False False  True False False False False False False False
 False False False False False False False  True False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False]"
list,XGBClassifier,25,0.8641977186311787,0.8242,"[ True  True  True  True  True  True  True  True  True  True  True  True
 False False  True  True False False  True  True  True  True False False
  True  True False  True False False False  True False  True False False
 False False False False  True False False False False False False False
 False False False False False False False  True False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False]"
list,RandomForestClassifier,25,0.6593662864385298,0.6194,"[ True  True  True  True  True  True  True  True  True  True  True  True
 False False  True  True False False  True  True  True  True False False
  True  True False  True False False False  True False  True False False
 False False False False  True False False False False False False False
 False False False False False False False  True False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False]"
list,LogisticRegression,25,0.8340988593155894,0.7941,"[ True  True  True  True  True  True  True  True  True  True  True  True
 False False  True  True False False  True  True  True  True False False
  True  True False  True False False False  True False  True False False
 False False False False  True False False False False False False False
 False False False False False False False  True False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False]"
list,SVC_rbf,50,0.9041977186311787,0.8142,"[ True  True  True  True  True  True  True  True  True  True  True  True
  True  True  True  True  True  True  True  True  True  True  True  True
  True  True  True  True False  True  True  True False  True  True False
  True  True  True False  True False False  True  True False False  True
 False  True False  True False  True False  True False False  True False
 False  True  True False  True False False False  True False  True False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False]"
list,SVC_linear,50,0.8747325728770596,0.7847,"[ True  True  True  True  True  True  True  True  True  True  True  True
  True  True  True  True  True  True  True  True  True  True  True  True
  True  True  True  True False  True  True  True False  True  True False
  True  True  True False  True False False  True  True False False  True
 False  True False  True False  True False  True False False  True False
 False  True  True False  True False False False  True False  True False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False]"
list,DecisionTreeClassifier,50,0.7740988593155893,0.6841,"[ True  True  True  True  True  True  True  True  True  True  True  True
  True  True  True  True  True  True  True  True  True  True  True  True
  True  True  True  True False  True  True  True False  True  True False
  True  True  True False  True False False  True  True False False  True
 False  True False  True False  True False  True False False  True False
 False  True  True False  True False False False  True False  True False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False]"
list,XGBClassifier,50,0.8860988593155894,0.7961,"[ True  True  True  True  True  True  True  True  True  True  True  True
  True  True  True  True  True  True  True  True  True  True  True  True
  True  True  True  True False  True  True  True False  True  True False
  True  True  True False  True False False  True  True False False  True
 False  True False  True False  True False  True False False  True False
 False  True  True False  True False False False  True False  True False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False]"
list,RandomForestClassifier,50,0.6273662864385298,0.5374,"[ True  True  True  True  True  True  True  True  True  True  True  True
  True  True  True  True  True  True  True  True  True  True  True  True
  True  True  True  True False  True  True  True False  True  True False
  True  True  True False  True False False  True  True False False  True
 False  True False  True False  True False  True False False  True False
 False  True  True False  True False False False  True False  True False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False]"
list,LogisticRegression,50,0.8627325728770596,0.7727,"[ True  True  True  True  True  True  True  True  True  True  True  True
  True  True  True  True  True  True  True  True  True  True  True  True
  True  True  True  True False  True  True  True False  True  True False
  True  True  True False  True False False  True  True False False  True
 False  True False  True False  True False  True False False  True False
 False  True  True False  True False False False  True False  True False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False]"
list,SVC_rbf,10,0.8035640050697085,0.7936,"[ True  True  True  True  True  True  True  True  True False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False  True False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False]"
list,SVC_linear,10,0.8121977186311787,0.8022,"[ True  True  True  True  True  True  True  True  True False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False  True False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False]"
list,DecisionTreeClassifier,10,0.8249885931558936,0.815,"[ True  True  True  True  True  True  True  True  True False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False  True False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False]"
list,XGBClassifier,10,0.8048314321926489,0.7948,"[ True  True  True  True  True  True  True  True  True False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False  True False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False]"
list,RandomForestClassifier,10,0.6987325728770596,0.6887,"[ True  True  True  True  True  True  True  True  True False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False  True False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False]"
list,LogisticRegression,10,0.7881977186311787,0.7782,"[ True  True  True  True  True  True  True  True  True False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False  True False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False]"
list,SVC_rbf,25,0.8688314321926489,0.8288,"[ True  True  True  True  True  True  True  True  True  True  True  True
 False False False  True  True False  True  True  True  True False False
  True  True False  True False  True False False False  True False False
 False False False False False False False False False False False False
 False False False False False False False  True False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False  True False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False]"
list,SVC_linear,25,0.8528314321926489,0.8128,"[ True  True  True  True  True  True  True  True  True  True  True  True
 False False False  True  True False  True  True  True  True False False
  True  True False  True False  True False False False  True False False
 False False False False False False False False False False False False
 False False False False False False False  True False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False  True False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False]"
list,DecisionTreeClassifier,25,0.7734651457541192,0.7335,"[ True  True  True  True  True  True  True  True  True  True  True  True
 False False False  True  True False  True  True  True  True False False
  True  True False  True False  True False False False  True False False
 False False False False False False False False False False False False
 False False False False False False False  True False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False  True False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False]"
list,XGBClassifier,25,0.8768314321926489,0.8368,"[ True  True  True  True  True  True  True  True  True  True  True  True
 False False False  True  True False  True  True  True  True False False
  True  True False  True False  True False False False  True False False
 False False False False False False False False False False False False
 False False False False False False False  True False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False  True False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False]"
list,RandomForestClassifier,25,0.6553662864385298,0.6154,"[ True  True  True  True  True  True  True  True  True  True  True  True
 False False False  True  True False  True  True  True  True False False
  True  True False  True False  True False False False  True False False
 False False False False False False False False False False False False
 False False False False False False False  True False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False  True False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False]"
list,LogisticRegression,25,0.8420988593155894,0.8021,"[ True  True  True  True  True  True  True  True  True  True  True  True
 False False False  True  True False  True  True  True  True False False
  True  True False  True False  True False False False  True False False
 False False False False False False False False False False False False
 False False False False False False False  True False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False  True False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False]"
list,SVC_rbf,50,0.8961977186311787,0.8062,"[ True  True  True  True  True  True  True  True  True  True  True  True
  True False  True  True  True  True  True  True  True  True  True  True
  True  True  True  True False False  True  True False  True False False
 False False  True False  True False False False  True False False False
 False  True False False False False False  True False False False False
 False False False False  True False False False  True False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False  True
 False  True False False False False  True False False False False False
 False False False False False False False False False False False False
 False False False False False False  True False False False False False
 False False  True False False False False False False False  True False
 False False False False False False False False False  True False False
  True False False False False  True False False False False False False
 False False False False False False False  True False False False False
  True False  True  True False False False False]"
list,SVC_linear,50,0.8608314321926489,0.7708,"[ True  True  True  True  True  True  True  True  True  True  True  True
  True False  True  True  True  True  True  True  True  True  True  True
  True  True  True  True False False  True  True False  True False False
 False False  True False  True False False False  True False False False
 False  True False False False False False  True False False False False
 False False False False  True False False False  True False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False  True
 False  True False False False False  True False False False False False
 False False False False False False False False False False False False
 False False False False False False  True False False False False False
 False False  True False False False False False False False  True False
 False False False False False False False False False  True False False
  True False False False False  True False False False False False False
 False False False False False False False  True False False False False
  True False  True  True False False False False]"
list,DecisionTreeClassifier,50,0.7740988593155893,0.6841,"[ True  True  True  True  True  True  True  True  True  True  True  True
  True False  True  True  True  True  True  True  True  True  True  True
  True  True  True  True False False  True  True False  True False False
 False False  True False  True False False False  True False False False
 False  True False False False False False  True False False False False
 False False False False  True False False False  True False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False  True
 False  True False False False False  True False False False False False
 False False False False False False False False False False False False
 False False False False False False  True False False False False False
 False False  True False False False False False False False  True False
 False False False False False False False False False  True False False
  True False False False False  True False False False False False False
 False False False False False False False  True False False False False
  True False  True  True False False False False]"
list,XGBClassifier,50,0.8881977186311787,0.7982,"[ True  True  True  True  True  True  True  True  True  True  True  True
  True False  True  True  True  True  True  True  True  True  True  True
  True  True  True  True False False  True  True False  True False False
 False False  True False  True False False False  True False False False
 False  True False False False False False  True False False False False
 False False False False  True False False False  True False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False  True
 False  True False False False False  True False False False False False
 False False False False False False False False False False False False
 False False False False False False  True False False False False False
 False False  True False False False False False False False  True False
 False False False False False False False False False  True False False
  True False False False False  True False False False False False False
 False False False False False False False  True False False False False
  True False  True  True False False False False]"
list,RandomForestClassifier,50,0.6433662864385298,0.5534,"[ True  True  True  True  True  True  True  True  True  True  True  True
  True False  True  True  True  True  True  True  True  True  True  True
  True  True  True  True False False  True  True False  True False False
 False False  True False  True False False False  True False False False
 False  True False False False False False  True False False False False
 False False False False  True False False False  True False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False  True
 False  True False False False False  True False False False False False
 False False False False False False False False False False False False
 False False False False False False  True False False False False False
 False False  True False False False False False False False  True False
 False False False False False False False False False  True False False
  True False False False False  True False False False False False False
 False False False False False False False  True False False False False
  True False  True  True False False False False]"
list,LogisticRegression,50,0.8488314321926489,0.7588,"[ True  True  True  True  True  True  True  True  True  True  True  True
  True False  True  True  True  True  True  True  True  True  True  True
  True  True  True  True False False  True  True False  True False False
 False False  True False  True False False False  True False False False
 False  True False False False False False  True False False False False
 False False False False  True False False False  True False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False  True
 False  True False False False False  True False False False False False
 False False False False False False False False False False False False
 False False False False False False  True False False False False False
 False False  True False False False False False False False  True False
 False False False False False False False False False  True False False
  True False False False False  True False False False False False False
 False False False False False False False  True False False False False
  True False  True  True False False False False]"
